left,right,notes
achar,to think,opinion
acontecer,to happen,
aprender,to learn,
beber,to drink,
calçar,to wear on the feet,
chegar,to arrive,
chamar,to call,
colocar,to put; to wear,
começar,to begin; to start,
comer,to eat,
comprar,to buy; to shop,
conhecer,to meet (initial); to know,
conseguir,to be able to,ability
criar,to create,
dar,to give,
decidir,to decide,
deixar,to let; to leave,
dividir,to divide,
dizer,to say,
encontrar,to find; to meet,
entender,to understand,
esquecer,to forget,
estar,to be (in state),
estudar,to study,
falar,to speak; to talk,
fazer,to do; to make,
ficar,to stay,
ganhar,to win; to gain,
gostar,to like,
haver,to have,other one
ir,to go,
ler,to read,
ligar,to call; to connect,
morar,to live,in a place
morrer,to die,
mostrar,to show,
ouvir,to hear,
pagar,to pay,
pareçer,to seem,
partir,to leave,
passar,to pass,
pedir,to ask for; to order,
pensar,to think,thoughts
perder,to lose,
poder,to be able to,power
pôr,to put,
querer,to want,
saber,to know,
sair,to go out,
seguir,to follow,
sentir,to feel,
ser,to be (in essence),
sugerir,to suggest,
ter,to have,
terminar,to end; to finish,
tocar,to play; to touch,
tomar,to take,
usar,to use; to wear,
ver,to see,
vestir,to wear,
vir,to come,
viver,to live,alive
