left,right,notes
eu sou a Dan,I am Dan,
você é a Mariana,you are Mariana,
ela é uma mulher,she is a woman,
ele é um homem,he is a man,
a gente é amigos,we people are friends,
nós somos alunos,we are students,
vocês são amigos,you are friends,plural
elas são amigas,they are friends,f
eles são felizes,they are happy,
eu estou aqui,I am here,
você está aí,you are there,
ela está feliz,she is happy,right now
nós estamos felizes,we are happy,right now
eles estão aqui,they are here,
eu fui ao Brasil,I went to Brazil,
eu fui professor,I was a teacher,
você foi ao Brasil,you went to Brazil,
você foi professor,you were a teacher,
nós fomos ao Brasil,we went to Brazil,
nós fomos professores,we were teachers,
vocês foram ao Brasil,you went to Brazil,plural
vocês foram professores,you were teachers,plural
eu estive no Brasil,I was in Brazil,
você esteve no Brasil,you were in Brazil,
nós estivemos no Brasil,we were in Brazil,
vocês estiveram no Brasil,you were in Brazil,plural
eu tenho uma ideia,I have an idea,
você tem uma ideia,you have an idea,
nós temos uma ideia,we have an idea,
vocês têm uma ideia,you have an idea,plural
eu tive uma ideia,I had an idea,
você teve uma ideia,you had an idea,
nós tivemos uma ideia,we had an idea,
vocês tiveram uma ideia,you had an idea,plural
eu vou viajar no final do ano,I am going to travel at the end of the year,
você vai estudar português,you are going to study Portuguese,
eu vou para o Brasil,I am going to Brasil,going to
você vai para casa,you are going home,going to
nós vamos para a festa,we are going to a party,going to
eu vou de metrô para o trabalho,I am going to work by subway,how you go
eu vou de trem para Boston,I am going to Boston by train,how you go
eu vou de carro para casa,I am going home by car,how you go
eu vou a pé para casa,I am going to walk home,how you go (exception)
